[2026-05-18 11:04:42] URI: /school1/node/19, VIEW: node, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/node.blade.php, IS_ADMIN: NO
[2026-05-18 11:05:07] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 11:35:46] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 11:36:28] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-18 11:37:52] URI: /school1/lekhak/admin/login, VIEW: login, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/login.blade.php, IS_ADMIN: NO
[2026-05-18 11:38:59] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 11:39:53] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 11:40:22] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 11:44:37] URI: /school1/lekhak/admin/settings, VIEW: placeholder, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/placeholder.blade.php, IS_ADMIN: YES
[2026-05-18 11:45:23] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 11:47:12] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 11:47:42] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 11:48:10] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 11:49:03] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
[2026-05-18 11:49:37] URI: /school1/lekhak/admin/landing, VIEW: landing/list, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/landing/list.blade.php, IS_ADMIN: YES
[2026-05-18 14:53:38] URI: /, VIEW: index, PATH: C:\projects\apache\school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 14:53:46] URI: /, VIEW: index, PATH: C:\projects\apache\school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 14:53:51] URI: /school1/, VIEW: index, PATH: C:\projects\apache\school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 12:58:37] URI: /school1/, VIEW: index, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/views/index.blade.php, IS_ADMIN: NO
[2026-05-18 12:59:15] URI: /school1/lekhak/admin, VIEW: dashboard, PATH: /mnt/c/projects/apache/school1/src/lekhak/resources/themes/glass_admin/views/dashboard.blade.php, IS_ADMIN: YES
